Czas [g:m:s.ss];Cisnienie1 [Pa];Wysokosc1 [m];Akcel1 X [g];Akcel1 Y [g];Akcel1 Z [g];Akcel2 X [g];Akcel2 Y [g];Akcel2 Z [g];Zyro1 X [°/s];Zyro1 Y [°/s];Zyro1 Z [°/s];Zyro2 X [°/s];Zyro2 Y [°/s];Zyro2 Z [°/s];Magn1 X [gaus];Magn1 Y [gaus];Magn1 Z [gaus];Magn2 X [gaus];Magn2 Y [gaus];Magn2 Z [gaus];Magn3 X [gaus];Magn3 Y [gaus];Magn3 Z [gaus];SzerokoscGeo [°];DlugoscGeo [°];WysokoscMSL [m];PredkWzglZiemi; [mKurs [°];Liczba Sat/Fix [-/-];
23:13:56.49;100682.3;56.54;-0.005;0.356;0.930;-0.007;0.373;0.935;-2.441;-1.831;-0.610;-6.714;4.578;4.272;0;0;0;45;15;-212;0;0;0;52.236523;20.934922;121.3;0.22;0.18;6/1;
23:13:56.29;100687.2;56.12;-0.005;0.357;0.930;-0.006;0.374;0.935;-2.441;-1.526;-0.610;-6.714;3.967;4.578;0;0;0;53;19;-217;0;0;0;52.236523;20.934922;121.3;0.23;0.18;6/1;
23:13:56.09;100688.4;56.01;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.136;-1.526;-0.610;-6.409;4.272;4.578;0;0;0;51;15;-219;0;0;0;52.236523;20.934920;121.3;0.23;0.18;6/1;
23:13:57.90;100685.6;56.26;-0.006;0.356;0.931;-0.006;0.374;0.935;-2.747;-1.526;-0.610;-6.104;3.967;5.188;0;0;0;50;16;-216;0;0;0;52.236522;20.934920;121.3;0.24;0.18;6/1;
23:13:57.70;100688.4;56.01;-0.004;0.356;0.930;-0.006;0.374;0.936;-2.747;-2.136;-0.610;-6.409;4.883;4.578;0;0;0;48;14;-216;0;0;0;52.236522;20.934920;121.3;0.24;0.18;6/1;
23:13:57.51;100688.8;55.97;-0.005;0.355;0.931;-0.007;0.374;0.934;-2.136;-1.526;-0.610;-6.409;3.967;4.883;0;0;0;52;16;-216;0;0;0;52.236522;20.934918;121.3;0.25;0.18;6/1;
23:13:57.31;100687.5;56.08;-0.005;0.356;0.930;-0.007;0.374;0.935;-2.441;-1.221;-0.610;-6.714;3.967;4.883;0;0;0;48;19;-215;0;0;0;52.236520;20.934917;121.3;0.25;0.18;6/1;
23:13:57.11;100686.0;56.22;-0.005;0.355;0.930;-0.006;0.374;0.935;-2.441;-1.526;-0.916;-6.714;3.967;4.578;0;0;0;50;18;-216;0;0;0;52.236520;20.934915;121.3;0.26;0.18;6/1;
23:13:58.92;100692.9;55.61;-0.005;0.356;0.930;-0.007;0.374;0.935;-2.136;-1.831;-0.916;-6.104;3.967;3.967;0;0;0;52;14;-213;0;0;0;52.236520;20.934913;121.3;0.27;0.18;6/1;
23:13:58.72;100690.9;55.78;-0.005;0.356;0.930;-0.006;0.374;0.935;-1.831;-1.221;-0.610;-6.714;3.662;4.272;0;0;0;51;17;-214;0;0;0;52.236520;20.934912;121.3;0.27;0.18;6/1;
23:13:58.53;100690.8;55.79;-0.004;0.355;0.930;-0.007;0.374;0.936;-2.441;-1.831;-0.610;-6.104;3.357;4.272;0;0;0;53;17;-219;0;0;0;52.236520;20.934910;121.3;0.27;0.18;6/1;
23:13:58.33;100688.3;56.01;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.526;-0.305;-6.409;4.272;3.967;0;0;0;47;15;-216;0;0;0;52.236518;20.934908;121.3;0.28;0.18;6/1;
23:13:58.14;100689.0;55.95;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.610;-7.019;3.662;4.578;0;0;0;54;15;-214;0;0;0;52.236518;20.934907;121.3;0.28;0.18;6/1;
23:13:59.94;100692.4;55.65;-0.005;0.356;0.929;-0.007;0.374;0.935;-2.136;-1.221;-0.916;-6.714;3.967;4.578;0;0;0;50;21;-215;0;0;0;52.236518;20.934905;121.3;0.29;0.18;6/1;
23:13:59.74;100691.9;55.70;-0.006;0.358;0.930;-0.007;0.374;0.935;-2.441;-1.526;-0.610;-6.714;3.967;4.578;0;0;0;44;14;-214;0;0;0;52.236517;20.934903;121.3;0.29;0.18;6/1;
23:13:59.55;100689.9;55.87;-0.005;0.356;0.931;-0.006;0.374;0.936;-2.441;-1.526;-0.610;-6.104;3.662;4.578;0;0;0;52;17;-216;0;0;0;52.236515;20.934902;121.3;0.30;233.25;6/1;
23:13:59.35;100683.4;56.44;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.526;-1.221;-6.409;4.272;4.272;0;0;0;50;14;-213;0;0;0;52.236515;20.934902;121.3;0.31;233.07;6/1;
23:13:59.16;100685.5;56.25;-0.005;0.357;0.929;-0.006;0.374;0.935;-1.831;-2.136;-0.916;-7.019;4.272;4.272;0;0;0;50;16;-217;0;0;0;52.236513;20.934902;121.3;0.31;231.26;6/1;
23:14:00.96;100684.1;56.38;-0.004;0.357;0.929;-0.006;0.374;0.935;-2.747;-1.526;-0.916;-6.409;4.272;4.578;0;0;0;49;20;-217;0;0;0;52.236513;20.934902;121.3;0.31;229.96;6/1;
23:14:00.76;100683.8;56.41;-0.005;0.356;0.930;-0.007;0.374;0.935;-2.441;-1.831;-0.610;-5.798;3.967;4.883;0;0;0;50;13;-218;0;0;0;52.236513;20.934900;121.3;0.31;229.49;6/1;
23:14:00.57;100687.3;56.09;-0.004;0.356;0.931;-0.007;0.373;0.935;-3.052;-1.526;-0.305;-6.409;3.357;4.578;0;0;0;51;16;-217;0;0;0;52.236512;20.934900;121.3;0.32;229.37;6/1;
23:14:00.37;100687.3;56.09;-0.005;0.357;0.930;-0.006;0.374;0.935;-2.136;-1.526;-0.916;-6.409;4.272;4.578;0;0;0;48;14;-214;0;0;0;52.236512;20.934900;121.3;0.32;228.96;6/1;
23:14:00.18;100683.1;56.46;-0.006;0.356;0.929;-0.006;0.374;0.935;-2.441;-1.526;-1.221;-7.019;4.578;4.272;0;0;0;53;17;-218;0;0;0;52.236512;20.934898;121.3;0.32;228.36;6/1;
23:14:01.98;100686.7;56.15;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.136;-1.526;-0.610;-7.019;3.662;4.578;0;0;0;48;19;-218;0;0;0;52.236510;20.934898;121.3;0.33;227.67;6/1;
23:14:01.79;100685.6;56.24;-0.006;0.357;0.929;-0.006;0.374;0.935;-2.441;-1.831;-0.305;-7.019;3.967;4.578;0;0;0;48;13;-218;0;0;0;52.236510;20.934897;121.3;0.33;227.07;6/1;
23:14:01.59;100683.1;56.46;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.441;-1.526;-0.916;-6.714;3.662;4.578;0;0;0;51;19;-208;0;0;0;52.236508;20.934897;121.3;0.33;226.73;6/1;
23:14:01.39;100680.7;56.67;-0.005;0.355;0.931;-0.006;0.374;0.936;-2.136;-1.526;-0.610;-6.409;3.662;4.578;0;0;0;54;18;-214;0;0;0;52.236508;20.934895;121.3;0.34;226.82;6/1;
23:14:01.20;100683.1;56.46;-0.005;0.357;0.931;-0.006;0.374;0.936;-2.136;-1.831;0.000;-6.714;3.662;4.272;0;0;0;49;17;-220;0;0;0;52.236508;20.934893;121.3;0.34;227.28;6/1;
23:14:01.00;100683.5;56.42;-0.004;0.356;0.931;-0.006;0.374;0.935;-2.136;-1.831;-0.916;-6.409;4.578;3.967;0;0;0;50;18;-216;0;0;0;52.236508;20.934893;121.3;0.34;227.82;6/1;
23:14:02.81;100683.5;56.42;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.747;-1.221;0.000;-6.409;4.578;4.578;0;0;0;48;17;-216;0;0;0;52.236508;20.934893;121.3;0.33;228.50;6/1;
23:14:02.61;100684.3;56.36;-0.003;0.356;0.930;-0.006;0.374;0.934;-2.441;-1.526;-0.916;-6.714;4.578;5.188;0;0;0;52;15;-216;0;0;0;52.236508;20.934893;121.3;0.32;229.00;6/1;
23:14:02.41;100684.4;56.34;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.831;-0.610;-7.324;3.967;4.272;0;0;0;52;14;-213;0;0;0;52.236510;20.934892;121.3;0.32;229.54;6/1;
23:14:02.21;100680.6;56.68;-0.004;0.355;0.931;-0.006;0.373;0.935;-2.747;-1.221;-0.305;-6.714;3.967;4.578;0;0;0;50;19;-217;0;0;0;52.236510;20.934892;121.2;0.32;229.41;6/1;
23:14:02.02;100687.3;56.09;-0.004;0.357;0.929;-0.006;0.373;0.936;-2.441;-1.526;-0.610;-6.409;3.967;4.578;0;0;0;49;15;-214;0;0;0;52.236510;20.934892;121.2;0.32;228.90;6/1;
23:14:03.83;100682.5;56.51;-0.004;0.356;0.930;-0.006;0.373;0.935;-2.747;-1.526;-0.916;-7.019;3.662;4.883;0;0;0;49;16;-218;0;0;0;52.236510;20.934892;121.2;0.32;228.80;6/1;
23:14:03.63;100685.9;56.21;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.526;-0.610;-7.019;3.967;4.883;0;0;0;49;19;-217;0;0;0;52.236508;20.934890;121.2;0.31;228.50;6/1;
23:14:03.43;100683.8;56.40;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.441;-1.831;-0.916;-7.019;3.967;4.272;0;0;0;52;16;-218;0;0;0;52.236510;20.934890;121.2;0.31;228.40;6/1;
23:14:03.23;100685.8;56.22;-0.005;0.356;0.929;-0.007;0.374;0.935;-2.136;-1.831;-0.610;-7.019;3.967;4.272;0;0;0;54;15;-217;0;0;0;52.236510;20.934890;121.2;0.31;228.10;6/1;
23:14:03.04;100686.5;56.16;-0.006;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.831;-0.610;-6.714;4.578;4.883;0;0;0;53;19;-216;0;0;0;52.236510;20.934890;121.2;0.30;227.40;6/1;
23:14:04.85;100686.1;56.19;-0.004;0.354;0.930;-0.006;0.374;0.935;-2.441;-1.526;-0.305;-6.714;4.272;4.578;0;0;0;52;17;-214;0;0;0;52.236508;20.934892;121.2;0.30;225.71;6/1;
23:14:04.65;100678.9;56.83;-0.006;0.356;0.930;-0.007;0.374;0.936;-2.747;-1.221;-0.305;-6.714;4.272;4.883;0;0;0;50;20;-219;0;0;0;52.236508;20.934892;121.2;0.30;225.71;6/1;
23:14:04.45;100689.2;55.92;-0.006;0.357;0.930;-0.006;0.374;0.935;-2.136;-2.136;-0.610;-6.409;4.883;4.578;0;0;0;48;19;-215;0;0;0;52.236508;20.934892;121.2;0.29;225.71;6/1;
23:14:04.25;100682.1;56.54;-0.005;0.356;0.931;-0.007;0.374;0.935;-2.747;-2.136;-0.916;-6.714;4.272;3.967;0;0;0;50;17;-215;0;0;0;52.236508;20.934892;121.2;0.28;225.71;6/1;
23:14:04.06;100685.7;56.23;-0.005;0.357;0.930;-0.007;0.374;0.935;-2.441;-2.136;-0.305;-6.714;4.272;4.578;0;0;0;51;17;-217;0;0;0;52.236508;20.934892;121.2;0.28;225.71;6/1;
23:14:05.87;100687.2;56.10;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.747;-1.831;-0.305;-6.714;3.662;4.578;0;0;0;48;18;-215;0;0;0;52.236508;20.934892;121.2;0.28;225.71;6/1;
23:14:05.67;100678.4;56.87;-0.004;0.354;0.929;-0.006;0.374;0.935;-2.136;-1.526;-0.305;-6.409;4.578;4.578;0;0;0;51;19;-214;0;0;0;52.236508;20.934893;121.2;0.27;225.71;6/1;
23:14:05.47;100685.8;56.21;-0.005;0.357;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.610;-7.019;4.578;4.272;0;0;0;51;15;-217;0;0;0;52.236508;20.934893;121.2;0.26;225.71;6/1;
23:14:05.27;100690.7;55.79;-0.005;0.357;0.929;-0.007;0.374;0.935;-2.747;-1.526;-0.305;-6.714;3.967;4.578;0;0;0;48;15;-219;0;0;0;52.236508;20.934895;121.2;0.25;225.71;6/1;
23:14:05.08;100683.2;56.44;-0.005;0.356;0.932;-0.006;0.374;0.935;-2.136;-1.221;-0.610;-6.714;4.272;4.883;0;0;0;51;15;-221;0;0;0;52.236510;20.934898;121.2;0.24;225.71;6/1;
23:14:06.89;100688.7;55.96;-0.006;0.357;0.930;-0.006;0.374;0.935;-2.136;-1.831;-0.610;-7.019;4.272;4.272;0;0;0;48;19;-214;0;0;0;52.236510;20.934900;121.2;0.24;225.71;6/1;
23:14:06.69;100690.5;55.80;-0.005;0.357;0.931;-0.007;0.374;0.935;-2.441;-0.916;-0.610;-6.714;3.967;4.578;0;0;0;51;16;-214;0;0;0;52.236510;20.934902;121.2;0.23;225.71;6/1;
23:14:06.49;100687.5;56.06;-0.004;0.356;0.930;-0.006;0.374;0.935;-2.136;-1.526;0.000;-6.409;4.272;4.883;0;0;0;51;15;-214;0;0;0;52.236512;20.934905;121.2;0.22;225.71;6/1;
23:14:06.29;100686.1;56.19;-0.004;0.357;0.931;-0.007;0.374;0.935;-2.136;-1.526;-0.916;-6.409;3.967;4.578;0;0;0;47;21;-214;0;0;0;52.236512;20.934907;121.2;0.22;225.71;6/1;
23:14:06.10;100684.5;56.33;-0.005;0.356;0.931;-0.007;0.374;0.935;-2.136;-1.831;-0.305;-6.104;4.578;4.578;0;0;0;52;17;-216;0;0;0;52.236512;20.934907;121.2;0.21;225.71;6/1;
23:14:07.90;100686.8;56.13;-0.004;0.356;0.930;-0.007;0.374;0.934;-2.136;-1.831;-0.610;-6.714;3.662;4.883;0;0;0;49;15;-217;0;0;0;52.236512;20.934905;121.2;0.21;225.71;6/1;
23:14:07.71;100689.8;55.86;-0.005;0.356;0.930;-0.007;0.374;0.935;-2.747;-1.831;-0.916;-6.714;3.662;4.578;0;0;0;51;19;-215;0;0;0;52.236512;20.934903;121.2;0.22;225.71;6/1;
23:14:07.51;100684.7;56.30;-0.004;0.357;0.929;-0.007;0.374;0.935;-1.831;-1.221;-0.610;-7.019;4.883;5.188;0;0;0;56;18;-214;0;0;0;52.236512;20.934902;121.2;0.22;225.71;6/1;
23:14:07.32;100686.5;56.15;-0.004;0.356;0.932;-0.006;0.374;0.936;-2.136;-1.831;-0.305;-6.714;4.272;4.272;0;0;0;52;16;-216;0;0;0;52.236512;20.934902;121.2;0.22;225.71;6/1;
23:14:07.12;100688.7;55.96;-0.005;0.356;0.930;-0.007;0.374;0.935;-2.747;-1.221;-0.610;-6.714;3.967;4.578;0;0;0;50;14;-216;0;0;0;52.236510;20.934900;121.2;0.22;225.71;6/1;
23:14:08.92;100690.6;55.78;-0.006;0.355;0.929;-0.006;0.374;0.935;-2.441;-1.221;-0.610;-6.409;3.662;4.883;0;0;0;49;18;-217;0;0;0;52.236512;20.934900;121.2;0.22;225.71;6/1;
23:14:08.73;100688.3;55.99;-0.004;0.356;0.930;-0.007;0.374;0.935;-2.441;-1.831;-0.610;-6.714;4.272;4.883;0;0;0;48;20;-218;0;0;0;52.236513;20.934902;121.2;0.21;225.71;6/1;
23:14:08.53;100689.2;55.91;-0.006;0.357;0.930;-0.007;0.374;0.935;-2.441;-1.831;-0.916;-6.409;4.272;4.578;0;0;0;54;17;-218;0;0;0;52.236513;20.934902;121.2;0.21;225.71;6/1;
